focus_share,mean_relative_weight,outcome,checkpoint,object
0.4364,4.0208,FAIL,2B,car
0.2916,2.3186,FAIL,2B,bus
0.3389,3.9492,FAIL,2B,handbag
0.5518,18.4524,FAIL,2B,bottle
0.3328,4.5897,FAIL,2B,skis
0.4301,3.6165,FAIL,2B,chair
0.5663,11.5197,FAIL,2B,handbag
0.3581,6.4574,FAIL,2B,bowl
0.3525,6.7645,FAIL,2B,handbag
0.1797,2.4155,FAIL,2B,truck
0.2315,2.6434,FAIL,2B,car
0.5994,5.8149,FAIL,2B,bicycle
0.1432,2.5549,FAIL,2B,bear
0.4176,4.9607,FAIL,2B,bottle
0.1471,1.5249,FAIL,2B,potted plant
0.2523,7.8541,FAIL,2B,bear
0.4838,2.3999,FAIL,2B,handbag
0.4306,3.5352,FAIL,2B,handbag
0.1748,2.0248,FAIL,2B,car
0.0963,1.9216,FAIL,2B,dining table
0.4964,3.8628,FAIL,2B,handbag
0.4481,5.6172,FAIL,2B,handbag
0.2865,1.5316,FAIL,2B,bowl
0.2488,3.509,FAIL,2B,bowl
0.1626,1.9083,FAIL,2B,car
0.2907,3.9432,FAIL,2B,bottle
0.0706,1.1538,FAIL,2B,dining table
0.637,8.4834,FAIL,2B,handbag
0.1032,1.1079,FAIL,2B,dining table
0.3275,3.8019,FAIL,2B,car
0.1836,3.924,FAIL,2B,person
0.3626,7.6357,FAIL,2B,handbag
0.2921,8.5464,FAIL,2B,potted plant
0.3073,6.842,FAIL,2B,handbag
0.4104,4.3824,FAIL,2B,backpack
0.2378,3.1283,FAIL,2B,chair
0.3971,8.1789,FAIL,2B,cup
0.2137,1.7113,FAIL,2B,cup
0.2954,2.3284,FAIL,2B,truck
0.4903,3.0023,FAIL,2B,dining table
0.2984,11.5453,FAIL,2B,cup
0.1411,2.6398,PASS,2B,skis
0.3078,6.8823,PASS,2B,handbag
0.1208,0.6768,PASS,2B,car
0.1184,1.0865,PASS,2B,dining table
0.1592,1.0459,PASS,2B,car
0.1182,1.3968,PASS,2B,car
0.225,2.981,PASS,2B,dining table
0.2371,0.8571,PASS,2B,car
0.226,1.9249,PASS,2B,handbag
0.1502,0.7947,PASS,2B,person
0.1194,0.568,PASS,2B,dining table
0.1156,1.5842,PASS,2B,skis
0.1262,0.9652,PASS,2B,car
0.1602,3.2968,PASS,2B,backpack
0.0771,1.5532,PASS,2B,dining table
0.1313,0.943,PASS,2B,person
0.1751,1.0296,PASS,2B,cup
0.0933,1.7382,PASS,2B,person
0.1267,1.7929,PASS,2B,baseball bat
0.1314,1.3025,PASS,2B,skis
0.1041,1.0453,PASS,2B,car
0.0914,1.9544,PASS,2B,car
0.1068,1.3577,PASS,2B,car
0.1462,2.5473,PASS,2B,bottle
0.1493,0.8247,PASS,2B,person
0.0984,1.1283,PASS,2B,skis
0.1393,1.2462,PASS,2B,cup
0.099,1.9817,PASS,2B,dog
0.1316,1.1443,PASS,2B,car
0.0709,1.1085,PASS,2B,car
0.1976,2.201,PASS,2B,cow
0.1341,1.1468,PASS,2B,car
0.1302,0.564,PASS,2B,dining table
0.1239,2.4154,PASS,2B,cup
0.1065,1.3494,PASS,2B,car
0.1753,0.559,PASS,2B,car
0.132,1.9031,PASS,2B,dining table
0.0686,1.0957,PASS,2B,chair
0.1515,1.0097,PASS,2B,car
0.3474,1.3598,PASS,2B,cup
0.092,1.2081,PASS,2B,car
0.1174,2.255,PASS,2B,person
0.1066,1.5172,PASS,2B,car
0.1229,1.2253,PASS,2B,person
0.0878,0.8856,PASS,2B,bowl
0.2873,2.3355,PASS,2B,truck
0.165,5.9306,PASS,2B,truck
0.1053,2.2254,PASS,2B,surfboard
0.2036,0.939,PASS,2B,dining table
0.1446,3.3261,PASS,2B,bottle
0.1015,2.2504,PASS,2B,skis
0.2536,2.5014,PASS,2B,dining table
0.0967,1.0361,PASS,2B,car
0.1046,0.7068,PASS,2B,car
0.1082,1.6361,PASS,2B,car
0.1035,0.6067,PASS,2B,car
0.0695,0.5209,PASS,2B,person
0.1209,0.7978,PASS,2B,person
0.1266,1.0035,PASS,2B,car
0.1156,1.0191,PASS,2B,car
0.1777,1.1989,PASS,2B,dining table
0.1141,1.1415,PASS,2B,person
0.1219,1.2852,PASS,2B,backpack
0.1181,1.1123,PASS,2B,dining table
0.1075,0.8103,PASS,2B,dining table
0.117,1.2191,PASS,2B,dining table
0.1253,1.3851,PASS,2B,car
0.0885,1.9433,PASS,2B,car
0.0975,0.8849,PASS,2B,car
0.1216,1.3716,PASS,2B,car
0.1055,1.183,PASS,2B,car
0.0949,0.835,PASS,2B,dining table
0.3451,3.795,PASS,2B,backpack
0.1756,1.1439,PASS,2B,car
0.1032,1.4074,PASS,2B,car
0.1049,1.128,PASS,2B,car
0.1533,1.1453,PASS,2B,car
0.1368,0.8579,PASS,2B,person
0.1067,1.6334,PASS,2B,toilet
0.1792,0.6301,PASS,2B,dining table
0.4477,12.9513,FAIL,4B,car
0.3594,16.7641,FAIL,4B,bottle
0.5657,16.8463,FAIL,4B,chair
0.245,18.7263,FAIL,4B,handbag
0.1205,2.723,FAIL,4B,truck
0.5018,12.0671,FAIL,4B,handbag
0.5414,17.445,FAIL,4B,bicycle
0.2013,4.0676,FAIL,4B,bear
0.1788,6.5486,FAIL,4B,potted plant
0.2749,11.5896,FAIL,4B,bear
0.2258,5.8612,FAIL,4B,handbag
0.2468,6.3189,FAIL,4B,handbag
0.1319,6.921,FAIL,4B,bowl
0.241,8.6746,FAIL,4B,car
0.2711,5.6028,FAIL,4B,dining table
0.1444,5.3877,FAIL,4B,car
0.1601,2.2879,FAIL,4B,potted plant
0.3726,12.1676,FAIL,4B,handbag
0.1891,12.0702,FAIL,4B,backpack
0.3561,8.5829,FAIL,4B,bowl
0.1208,7.2483,FAIL,4B,car
0.1355,3.6708,FAIL,4B,dining table
0.1996,8.15,FAIL,4B,person
0.1983,6.0126,FAIL,4B,handbag
0.1946,7.5199,FAIL,4B,potted plant
0.129,12.5366,FAIL,4B,truck
0.4251,22.762,FAIL,4B,chair
0.346,9.2707,FAIL,4B,car
0.1704,4.9947,FAIL,4B,couch
0.1791,6.4381,FAIL,4B,cup
0.4205,18.2222,FAIL,4B,dining table
0.3338,18.4179,FAIL,4B,handbag
0.3749,14.7355,FAIL,4B,dining table
0.2043,5.5672,FAIL,4B,car
0.2391,16.303,FAIL,4B,cup
0.1583,8.1214,PASS,4B,car
0.3222,25.1967,PASS,4B,handbag
0.1423,5.1425,PASS,4B,skis
0.1361,6.4857,PASS,4B,person
0.1141,4.5002,PASS,4B,skis
0.1483,4.4324,PASS,4B,person
0.1663,3.3461,PASS,4B,car
0.2232,5.6482,PASS,4B,dining table
0.2314,7.7043,PASS,4B,handbag
0.1995,6.0451,PASS,4B,car
0.1079,7.7867,PASS,4B,dining table
0.1306,11.7995,PASS,4B,bottle
0.2499,9.8465,PASS,4B,car
0.2327,13.5548,PASS,4B,truck
0.3033,18.0525,PASS,4B,cup
0.1253,5.395,PASS,4B,person
0.1191,3.4716,PASS,4B,cup
0.2149,11.8091,PASS,4B,traffic light
0.1216,4.0248,PASS,4B,person
0.1433,8.5267,PASS,4B,baseball bat
0.2415,6.5161,PASS,4B,car
0.1486,4.5681,PASS,4B,car
0.1459,5.7148,PASS,4B,car
0.1274,3.71,PASS,4B,person
0.0884,7.0801,PASS,4B,person
0.0998,3.4212,PASS,4B,skis
0.14,3.2464,PASS,4B,cup
0.1116,6.2789,PASS,4B,dog
0.1214,4.4412,PASS,4B,car
0.12,9.7207,PASS,4B,dining table
0.1964,5.0214,PASS,4B,car
0.221,4.4416,PASS,4B,handbag
0.2053,4.8869,PASS,4B,car
0.1612,5.0436,PASS,4B,car
0.1469,4.0397,PASS,4B,car
0.2352,6.2766,PASS,4B,dining table
0.1222,3.8206,PASS,4B,dog
0.3699,11.3392,PASS,4B,dining table
0.234,4.5672,PASS,4B,car
0.1303,4.6001,PASS,4B,car
0.1122,4.205,PASS,4B,car
0.0688,4.2969,PASS,4B,person
0.1225,3.8103,PASS,4B,dog
0.1659,6.0563,PASS,4B,car
0.2343,15.5276,PASS,4B,dining table
0.0937,6.6841,PASS,4B,person
0.1442,4.2613,PASS,4B,cup
0.0993,2.1126,PASS,4B,dining table
0.1985,7.2614,PASS,4B,car
0.4236,17.9881,PASS,4B,traffic light
0.1743,5.6748,PASS,4B,dining table
0.1714,13.2898,PASS,4B,bowl
0.4002,12.6746,PASS,4B,traffic light
0.1466,9.1032,PASS,4B,bowl
0.1252,16.1802,PASS,4B,handbag
0.1031,7.6427,PASS,4B,car
0.2664,5.3589,PASS,4B,dining table
0.2988,18.654,PASS,4B,cup
0.1789,5.1796,PASS,4B,dining table
0.0863,8.2733,PASS,4B,person
0.1867,10.0246,PASS,4B,person
0.1114,8.6954,PASS,4B,person
0.1457,1.7643,PASS,4B,car
0.1143,3.5182,PASS,4B,person
0.0898,2.1778,PASS,4B,car
0.1592,8.5862,PASS,4B,car
0.1381,6.3813,PASS,4B,car
0.1518,4.6813,PASS,4B,backpack
0.2843,6.5169,PASS,4B,dining table
0.1748,15.2718,PASS,4B,bowl
0.7457,27.9046,PASS,4B,truck
0.2639,12.1298,PASS,4B,traffic light
0.0947,3.1908,PASS,4B,car
0.1314,9.0113,PASS,4B,bottle
0.2399,4.5567,PASS,4B,car
0.3603,8.2272,PASS,4B,dining table
0.1994,8.4191,PASS,4B,person
0.3211,9.3034,PASS,4B,dining table
0.0996,5.8425,PASS,4B,person
0.1192,4.2317,PASS,4B,car
0.4681,6.7627,FAIL,8B,car
0.339,13.9592,FAIL,8B,handbag
0.2869,10.8339,FAIL,8B,handbag
0.5671,33.0722,FAIL,8B,bottle
0.1958,5.0834,FAIL,8B,car
0.3114,4.2463,FAIL,8B,traffic light
0.4101,11.8054,FAIL,8B,handbag
0.4533,9.814,FAIL,8B,truck
0.4525,9.5651,FAIL,8B,handbag
0.4849,9.249,FAIL,8B,car
0.4035,6.1589,FAIL,8B,bicycle
0.2242,2.8568,FAIL,8B,bear
0.1963,4.3128,FAIL,8B,potted plant
0.3776,7.4748,FAIL,8B,bear
0.2961,3.455,FAIL,8B,handbag
0.3809,4.4341,FAIL,8B,handbag
0.3904,10.0805,FAIL,8B,person
0.1252,3.5895,FAIL,8B,car
0.2532,3.0334,FAIL,8B,dining table
0.1113,4.56,FAIL,8B,car
0.4046,2.6591,FAIL,8B,potted plant
0.2227,3.5498,FAIL,8B,person
0.3689,11.4799,FAIL,8B,person
0.4085,4.3442,FAIL,8B,handbag
0.2974,6.2313,FAIL,8B,backpack
0.2441,5.4226,FAIL,8B,car
0.4441,8.1098,FAIL,8B,handbag
0.2423,7.6519,FAIL,8B,person
0.1289,3.172,FAIL,8B,bowl
0.2369,3.9928,FAIL,8B,car
0.1019,1.8072,FAIL,8B,dining table
