signal,display_name,alias,scope,n_fail,n_pass,median_fail,median_pass,auc,auc_lo,auc_hi,separation,rank_biserial,cohens_d,mannwhitney_p,direction,ci_excludes_null,checkpoint
max_relative_weight,Maximum relative attention,Max rel.wt,2B,41,80,115.1141,11.7665,0.908,0.841,0.962,0.816,0.816,1.262,2.4e-13,higher in FAIL,True,2B
mean_relative_weight,Mean relative attention,Mean rel.wt,2B,41,80,3.8628,1.2035,0.903,0.842,0.955,0.806,0.806,1.485,4.6e-13,higher in FAIL,True,2B
attention_entropy,Attention entropy,Entropy,2B,41,80,0.7507,0.9113,0.102,0.032,0.185,0.796,-0.796,-2.179,9.09e-13,lower in FAIL,True,2B
focus_share,Attention focus share,Focus share,2B,41,80,0.3073,0.1217,0.888,0.807,0.954,0.777,0.777,1.989,3.14e-12,higher in FAIL,True,2B
top1_share,Top-1 patch share,Top-1 share,2B,41,80,0.1013,0.0332,0.871,0.791,0.939,0.742,0.742,1.618,2.76e-11,higher in FAIL,True,2B
center_offset,Center offset,Center off.,2B,41,80,0.2477,0.1253,0.784,0.683,0.87,0.568,0.568,1.313,3.48e-07,higher in FAIL,True,2B
edge_mass,Edge mass,Edge mass,2B,41,80,0.1727,0.239,0.341,0.226,0.462,0.318,-0.318,-0.564,0.00433,lower in FAIL,True,2B
focus_share,Attention focus share,Focus share,4B,35,80,0.2391,0.1484,0.738,0.637,0.828,0.476,0.476,0.797,5.23e-05,higher in FAIL,True,4B
attention_entropy,Attention entropy,Entropy,4B,35,80,0.8411,0.8899,0.276,0.182,0.387,0.447,-0.447,-0.684,0.000144,lower in FAIL,True,4B
top1_share,Top-1 patch share,Top-1 share,4B,35,80,0.0667,0.0473,0.716,0.613,0.812,0.431,0.431,0.435,0.000247,higher in FAIL,True,4B
max_relative_weight,Maximum relative attention,Max rel.wt,4B,35,80,133.0822,75.5649,0.688,0.58,0.794,0.376,0.376,0.219,0.00137,higher in FAIL,True,4B
mean_relative_weight,Mean relative attention,Mean rel.wt,4B,35,80,8.5829,6.1665,0.654,0.537,0.76,0.307,0.307,0.488,0.00904,higher in FAIL,True,4B
center_offset,Center offset,Center off.,4B,35,80,0.2111,0.1492,0.608,0.483,0.724,0.215,0.215,0.391,0.0678,higher in FAIL,False,4B
edge_mass,Edge mass,Edge mass,4B,35,80,0.1695,0.1945,0.412,0.293,0.536,0.175,-0.175,-0.2,0.137,lower in FAIL,False,4B
max_relative_weight,Maximum relative attention,Max rel.wt,8B,50,80,139.6532,29.4628,0.819,0.739,0.889,0.638,0.638,0.66,1.04e-09,higher in FAIL,True,8B
focus_share,Attention focus share,Focus share,8B,50,80,0.2967,0.1507,0.803,0.719,0.874,0.607,0.607,1.149,6.35e-09,higher in FAIL,True,8B
mean_relative_weight,Mean relative attention,Mean rel.wt,8B,50,80,5.5709,2.4947,0.801,0.723,0.871,0.601,0.601,0.881,8.69e-09,higher in FAIL,True,8B
attention_entropy,Attention entropy,Entropy,8B,50,80,0.7976,0.8899,0.201,0.123,0.281,0.599,-0.599,-1.105,1.03e-08,lower in FAIL,True,8B
top1_share,Top-1 patch share,Top-1 share,8B,50,80,0.1012,0.0392,0.8,0.722,0.874,0.599,0.599,1.056,9.86e-09,higher in FAIL,True,8B
edge_mass,Edge mass,Edge mass,8B,50,80,0.1348,0.195,0.34,0.238,0.437,0.32,-0.32,-0.461,0.00221,lower in FAIL,True,8B
center_offset,Center offset,Center off.,8B,50,80,0.1998,0.1844,0.603,0.5,0.706,0.206,0.206,0.464,0.0484,higher in FAIL,False,8B
