signal_checkpoint,signal,checkpoint,auc,auc_lo,auc_hi,separation,n_fail,n_pass,direction
Max rel.wt @ 2B,max_relative_weight,2B,0.908,0.841,0.962,0.816,41,80,higher in FAIL
Mean rel.wt @ 2B,mean_relative_weight,2B,0.903,0.842,0.955,0.806,41,80,higher in FAIL
Entropy @ 2B,attention_entropy,2B,0.102,0.032,0.185,0.796,41,80,lower in FAIL
Focus share @ 2B,focus_share,2B,0.888,0.807,0.954,0.777,41,80,higher in FAIL
Top-1 share @ 2B,top1_share,2B,0.871,0.791,0.939,0.742,41,80,higher in FAIL
Center off. @ 2B,center_offset,2B,0.784,0.683,0.87,0.568,41,80,higher in FAIL
Edge mass @ 2B,edge_mass,2B,0.341,0.226,0.462,0.318,41,80,lower in FAIL
Focus share @ 4B,focus_share,4B,0.738,0.637,0.828,0.476,35,80,higher in FAIL
Entropy @ 4B,attention_entropy,4B,0.276,0.182,0.387,0.447,35,80,lower in FAIL
Top-1 share @ 4B,top1_share,4B,0.716,0.613,0.812,0.431,35,80,higher in FAIL
Max rel.wt @ 4B,max_relative_weight,4B,0.688,0.58,0.794,0.376,35,80,higher in FAIL
Mean rel.wt @ 4B,mean_relative_weight,4B,0.654,0.537,0.76,0.307,35,80,higher in FAIL
Center off. @ 4B,center_offset,4B,0.608,0.483,0.724,0.215,35,80,higher in FAIL
Edge mass @ 4B,edge_mass,4B,0.412,0.293,0.536,0.175,35,80,lower in FAIL
Max rel.wt @ 8B,max_relative_weight,8B,0.819,0.739,0.889,0.638,50,80,higher in FAIL
Focus share @ 8B,focus_share,8B,0.803,0.719,0.874,0.607,50,80,higher in FAIL
Mean rel.wt @ 8B,mean_relative_weight,8B,0.801,0.723,0.871,0.601,50,80,higher in FAIL
Entropy @ 8B,attention_entropy,8B,0.201,0.123,0.281,0.599,50,80,lower in FAIL
Top-1 share @ 8B,top1_share,8B,0.8,0.722,0.874,0.599,50,80,higher in FAIL
Edge mass @ 8B,edge_mass,8B,0.34,0.238,0.437,0.32,50,80,lower in FAIL
Center off. @ 8B,center_offset,8B,0.603,0.5,0.706,0.206,50,80,higher in FAIL
